IMAGE_FILENAME,SKU
"gigi-by-la-femme-25237_black_f-prom-dresses-images.jpg,gigi-by-la-femme-25237_black_f2-prom-dresses-images.jpg,gigi-by-la-femme-25237_black_b-prom-dresses-images.jpg",25237
"gigi-by-la-femme-25467_blackgold_f-prom-dresses-images.jpg,gigi-by-la-femme-25467_blackgold_b-prom-dresses-images.jpg",25467
"gigi-by-la-femme-25639_cloudblue_f-prom-dresses-images.jpg,gigi-by-la-femme-25639_blush_f-prom-dresses-images.jpg,gigi-by-la-femme-25639_blush_b-prom-dresses-images.jpg",25639
"gigi-by-la-femme-25838_white_b-prom-dresses-images.jpg,gigi-by-la-femme-25838_sapphireblue_f-prom-dresses-images.jpg,gigi-by-la-femme-25838_sapphireblue_b-prom-dresses-images.jpg,gigi-by-la-femme-25838_sapphireblue_b2-prom-dresses-images.jpg,gigi-by-la-femme-25838_emerald_b-prom-dresses-images.jpg,gigi-by-la-femme-25838_burgundy_b-prom-dresses-images.jpg",25838
"gigi-by-la-femme-25964_red_f-prom-dresses-images.jpg,gigi-by-la-femme-25964_red_b-prom-dresses-images.jpg",25964
"gigi-by-la-femme-25971_sapphireblue_f-prom-dresses-images.jpg,gigi-by-la-femme-25971_hotcoral_f-prom-dresses-images.jpg,gigi-by-la-femme-25971_hotcoral_b-prom-dresses-images.jpg",25971
"gigi-by-la-femme-25982_teal_f-prom-dresses-images.jpg,gigi-by-la-femme-25982_teal_b-prom-dresses-images.jpg",25982
"gigi-by-la-femme-26046_yellow_f-prom-dresses-images.jpg,gigi-by-la-femme-26046_fuchsia_f-prom-dresses-images.jpg,gigi-by-la-femme-26046_electricblue_f-prom-dresses-images.jpg,gigi-by-la-femme-26046_electricblue_b-prom-dresses-images.jpg",26046
"gigi-by-la-femme-26053_indigo_f-prom-dresses-images.jpg,gigi-by-la-femme-26053_deepred_f-prom-dresses-images.jpg,gigi-by-la-femme-26053_darkteal_f-prom-dresses-images.jpg,gigi-by-la-femme-26053_darkteal_b-prom-dresses-images.jpg",26053
"gigi-by-la-femme-26054_gunmetal_f-prom-dresses-images.jpg,gigi-by-la-femme-26054_gunmetal_b-prom-dresses-images.jpg",26054
"gigi-by-la-femme-26057_gunmetal_f-prom-dresses-images.jpg,gigi-by-la-femme-26057_cloudblue_f-prom-dresses-images.jpg,gigi-by-la-femme-26057_cloudblue_b-prom-dresses-images.jpg",26057
"gigi-by-la-femme-26059_navy_f-prom-dresses-images.jpg,gigi-by-la-femme-26059_navy_b-prom-dresses-images.jpg,gigi-by-la-femme-26059_gunmetal_f-prom-dresses-images.jpg",26059
"gigi-by-la-femme-26060_teal_f-prom-dresses-images.jpg,gigi-by-la-femme-26060_teal_f2-prom-dresses-images.jpg,gigi-by-la-femme-26060_teal_b-prom-dresses-images.jpg,gigi-by-la-femme-26060_lightblush_f-prom-dresses-images.jpg,gigi-by-la-femme-26060_cloudblue_f-prom-dresses-images.jpg",26060
"gigi-by-la-femme-26061_royalblue_f-prom-dresses-images.jpg,gigi-by-la-femme-26061_royalblue_b-prom-dresses-images.jpg,gigi-by-la-femme-26061_platinum_f-prom-dresses-images.jpg,gigi-by-la-femme-26061_darkteal_f-prom-dresses-images.jpg",26061
"gigi-by-la-femme-26063_lightsilver_f-prom-dresses-images.jpg,gigi-by-la-femme-26063_lightsilver_b-prom-dresses-images.jpg,gigi-by-la-femme-26063_blush_f-prom-dresses-images.jpg",26063
"gigi-by-la-femme-26069_cloudblue_f-prom-dresses-images.jpg,gigi-by-la-femme-26069_cloudblue_b-prom-dresses-images.jpg,gigi-by-la-femme-26069_blush_f-prom-dresses-images.jpg,gigi-by-la-femme-26069_blush_b-prom-dresses-images.jpg",26069
"gigi-by-la-femme-26070_teal_f-prom-dresses-images.jpg,gigi-by-la-femme-26070_teal_b-prom-dresses-images.jpg,gigi-by-la-femme-26070_teal_b2-prom-dresses-images.jpg,gigi-by-la-femme-26070_navy_f-prom-dresses-images.jpg",26070
"gigi-by-la-femme-26071_white_f-prom-dresses-images.jpg,gigi-by-la-femme-26071_navy_f-prom-dresses-images.jpg,gigi-by-la-femme-26071_navy_b-prom-dresses-images.jpg",26071
"gigi-by-la-femme-26125_goldnude_f-prom-dresses-images.jpg,gigi-by-la-femme-26125_goldnude_b-prom-dresses-images.jpg",26125
"gigi-by-la-femme-26129_cloudblue_f-prom-dresses-images.jpg,gigi-by-la-femme-26129_cloudblue_b-prom-dresses-images.jpg",26129
"gigi-by-la-femme-26130_charcoal_f-prom-dresses-images.jpg,gigi-by-la-femme-26130_charcoal_b-prom-dresses-images.jpg",26130
"gigi-by-la-femme-26181_navy_f-prom-dresses-images.jpg,gigi-by-la-femme-26181_navy_f2-prom-dresses-images.jpg,gigi-by-la-femme-26181_navy_b-prom-dresses-images.jpg",26181
"gigi-by-la-femme-26182_royalblue_f-prom-dresses-images.jpg,gigi-by-la-femme-26182_royalblue_f2-prom-dresses-images.jpg,gigi-by-la-femme-26182_royalblue_b-prom-dresses-images.jpg,gigi-by-la-femme-26182_burgundy_f-prom-dresses-images.jpg,gigi-by-la-femme-26182_burgundy_f2-prom-dresses-images.jpg",26182
"gigi-by-la-femme-26215_royalblue_f-prom-dresses-images.jpg,gigi-by-la-femme-26215_raspberry_f-prom-dresses-images.jpg,gigi-by-la-femme-26215_raspberry_b-prom-dresses-images.jpg",26215
"gigi-by-la-femme-26217_navy_b-prom-dresses-images.jpg,gigi-by-la-femme-26217_forestgreen_f-prom-dresses-images.jpg,gigi-by-la-femme-26217_forestgreen_b-prom-dresses-images.jpg,gigi-by-la-femme-26217_burgundy_b-prom-dresses-images.jpg",26217
"gigi-by-la-femme-26218_white_f-prom-dresses-images.jpg,gigi-by-la-femme-26218_white_b-prom-dresses-images.jpg",26218
"gigi-by-la-femme-26219_white_f-prom-dresses-images.jpg,gigi-by-la-femme-26219_white_b-prom-dresses-images.jpg,gigi-by-la-femme-26219_electricblue_f-prom-dresses-images.jpg",26219
"gigi-by-la-femme-26223_silver_f-prom-dresses-images.jpg,gigi-by-la-femme-26223_navy_f-prom-dresses-images.jpg,gigi-by-la-femme-26223_lightblue_f-prom-dresses-images.jpg,gigi-by-la-femme-26223_blush_f-prom-dresses-images.jpg,gigi-by-la-femme-26223_blush_b-prom-dresses-images.jpg,gigi-by-la-femme-26223_blush_b2-prom-dresses-images.jpg",26223
"gigi-by-la-femme-26288_white_f-prom-dresses-images.jpg,gigi-by-la-femme-26288_white_b-prom-dresses-images.jpg",26288
"gigi-by-la-femme-26289_royalblue_f-prom-dresses-images.jpg,gigi-by-la-femme-26289_gunmetal_f-prom-dresses-images.jpg,gigi-by-la-femme-26289_gunmetal_b-prom-dresses-images.jpg,gigi-by-la-femme-26289_burgundy_f-prom-dresses-images.jpg",26289
"gigi-by-la-femme-26293_powderblue_f-prom-dresses-images.jpg,gigi-by-la-femme-26293_powderblue_b-prom-dresses-images.jpg",26293
"gigi-by-la-femme-26294_silver_f-prom-dresses-images.jpg,gigi-by-la-femme-26294_silver_b-prom-dresses-images.jpg",26294
"gigi-by-la-femme-26300_forestgreen_f-prom-dresses-images.jpg,gigi-by-la-femme-26300_forestgreen_f2-prom-dresses-images.jpg,gigi-by-la-femme-26300_forestgreen_b-prom-dresses-images.jpg,gigi-by-la-femme-26300_forestgreen_b2-prom-dresses-images.jpg",26300
"gigi-by-la-femme-26305_navy_f-prom-dresses-images.jpg,gigi-by-la-femme-26305_navy_b-prom-dresses-images.jpg",26305
"gigi-by-la-femme-26327_pink_f-prom-dresses-images.jpg,gigi-by-la-femme-26327_pink_b-prom-dresses-images.jpg",26327
"gigi-by-la-femme-26353_silver_f-prom-dresses-images.jpg,gigi-by-la-femme-26353_silver_b-prom-dresses-images.jpg,gigi-by-la-femme-26353_ivorynude_f-prom-dresses-images.jpg",26353
"gigi-by-la-femme-26382_gunmetal_f-prom-dresses-images.jpg,gigi-by-la-femme-26382_gunmetal_b-prom-dresses-images.jpg",26382
"gigi-by-la-femme-26386_navy_f-prom-dresses-images.jpg,gigi-by-la-femme-26386_navy_b-prom-dresses-images.jpg",26386
