IMAGE_FILENAME,SKU
"la-femme-24691_black_f-prom-dresses-images.jpg,la-femme-24691_black_f2-prom-dresses-images.jpg,la-femme-24691_platinum_b-prom-dresses-images.jpg,la-femme-24691_platinum_f-prom-dresses-images.jpg,la-femme-24691_platinum_f2-prom-dresses-images.jpg",24691
"la-femme-24773_black_f-prom-dresses-images.jpg,la-femme-24773_black_b-prom-dresses-images.jpg",24773
"la-femme-24778_black_b-prom-dresses-images.jpg,la-femme-24778_black_f-prom-dresses-images.jpg,la-femme-24778_black_f2-prom-dresses-images.jpg",24778
"la-femme-24821_black_f-prom-dresses-images.jpg,la-femme-24821_champagne_b-prom-dresses-images.jpg,la-femme-24821_champagne_f-prom-dresses-images.jpg,la-femme-24821_red_f-prom-dresses-images.jpg,la-femme-24821_silver_f-prom-dresses-images.jpg",24821
"la-femme-24901_burgundy_f-prom-dresses-images.jpg,la-femme-24901_royalblue_b-prom-dresses-images.jpg,la-femme-24901_royalblue_f-prom-dresses-images.jpg",24901
"la-femme-24903_electricblue_b-prom-dresses-images.jpg,la-femme-24903_electricblue_f-prom-dresses-images.jpg,la-femme-24903_electricblue_f2-prom-dresses-images.jpg,la-femme-24903_poppyred_f-prom-dresses-images.jpg,la-femme-24903_white_f-prom-dresses-images.jpg,la-femme-24903_yellow_f-prom-dresses-images.jpg",24903
"la-femme-25129_garnet_b-prom-dresses-images.jpg,la-femme-25129_garnet_f-prom-dresses-images.jpg,la-femme-25129_huntergreen_f-prom-dresses-images.jpg,la-femme-25129_navy_f-prom-dresses-images.jpg",25129
"la-femme-25158_darkteal_f-prom-dresses-images.jpg,la-femme-25158_wine_b-prom-dresses-images.jpg,la-femme-25158_wine_f-prom-dresses-images.jpg",25158
"la-femme-25174_charcoal_f-prom-dresses-images.jpg,la-femme-25174_fuchsia_b-prom-dresses-images.jpg,la-femme-25174_fuchsia_f-prom-dresses-images.jpg,la-femme-25174_fuchsia_f2-prom-dresses-images.jpg,la-femme-25174_royalblue_f-prom-dresses-images.jpg",25174
"la-femme-25184_deepteal_b-prom-dresses-images.jpg,la-femme-25184_deepteal_f-prom-dresses-images.jpg,la-femme-25184_raspberry_f-prom-dresses-images.jpg,la-femme-25184_silver_f-prom-dresses-images.jpg",25184
"la-femme-25213_forestgreen_f-prom-dresses-images.jpg,la-femme-25213_navy_f-prom-dresses-images.jpg,la-femme-25213_wine_b-prom-dresses-images.jpg,la-femme-25213_wine_f-prom-dresses-images.jpg",25213
"la-femme-25215_purple_f-prom-dresses-images.jpg,la-femme-25215_silver_b-prom-dresses-images.jpg,la-femme-25215_silver_f-prom-dresses-images.jpg,la-femme-25215_teal_b-prom-dresses-images.jpg,la-femme-25215_teal_f-prom-dresses-images.jpg",25215
"la-femme-25220_red_b-prom-dresses-images.jpg,la-femme-25220_red_f-prom-dresses-images.jpg,la-femme-25220_sapphireblue_f-prom-dresses-images.jpg,la-femme-25220_silver_f-prom-dresses-images.jpg",25220
"la-femme-25256_fuchsia_f-prom-dresses-images.jpg,la-femme-25256_sapphireblue_f-prom-dresses-images.jpg,la-femme-25256_silver_b-prom-dresses-images.jpg,la-femme-25256_silver_f-prom-dresses-images.jpg",25256
"la-femme-25258_fuchsia_f-prom-dresses-images.jpg,la-femme-25258_silver_f-prom-dresses-images.jpg,la-femme-25258_teal_b-prom-dresses-images.jpg,la-femme-25258_teal_f-prom-dresses-images.jpg",25258
